,Title,Date,day_of_week,month,Shows,len,title,season,episode,Unnamed: 0,show_id,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Unnamed: 0.1,tconst,titleType,primaryTitle,isAdult,startYear,endYear,runtimeMinutes,genres
10,Suits: Season 4: This Is Rome,2020-12-06,Sunday,December,"['Suits', ' Season 4', ' This Is Rome']",3.0,Suits, Season 4, This Is Rome,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
11,Suits: Season 4: Gone,2020-12-06,Sunday,December,"['Suits', ' Season 4', ' Gone']",3.0,Suits, Season 4, Gone,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
12,Suits: Season 4: Exposure,2020-12-06,Sunday,December,"['Suits', ' Season 4', ' Exposure']",3.0,Suits, Season 4, Exposure,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
13,Suits: Season 4: We're Done,2020-12-05,Saturday,December,"['Suits', ' Season 4', "" We're Done""]",3.0,Suits, Season 4, We're Done,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
14,Suits: Season 4: Litt the Hell Up,2020-12-05,Saturday,December,"['Suits', ' Season 4', ' Litt the Hell Up']",3.0,Suits, Season 4, Litt the Hell Up,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
15,Suits: Season 4: Pound of Flesh,2020-12-04,Friday,December,"['Suits', ' Season 4', ' Pound of Flesh']",3.0,Suits, Season 4, Pound of Flesh,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
16,Suits: Season 4: Leveraged,2020-12-04,Friday,December,"['Suits', ' Season 4', ' Leveraged']",3.0,Suits, Season 4, Leveraged,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
17,Suits: Season 4: Two in the Knees,2020-12-03,Thursday,December,"['Suits', ' Season 4', ' Two in the Knees']",3.0,Suits, Season 4, Two in the Knees,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
18,"Suits: Season 4: Breakfast, Lunch and Dinner",2020-12-02,Wednesday,December,"['Suits', ' Season 4', ' Breakfast, Lunch and Dinner']",3.0,Suits, Season 4," Breakfast, Lunch and Dinner",1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
19,Suits: Season 4: One-Two-Three Go...,2020-12-02,Wednesday,December,"['Suits', ' Season 4', ' One-Two-Three Go...']",3.0,Suits, Season 4, One-Two-Three Go...,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
20,Quantico: Season 1: Clue,2020-12-01,Tuesday,December,"['Quantico', ' Season 1', ' Clue']",3.0,Quantico, Season 1, Clue,1500.0,80063740.0,TV Show,,"Priyanka Chopra, Josh Hopkins, Jake McLaughlin, Aunjanue Ellis, Yasmine Al Massri, Johanna Braddy, Tate Ellington, Graham Rogers, Anabelle Acosta, Russell Tovey, Blair Underwood, Pearl Thusi",United States," September 2, 2018",2018.0,TV-14,3 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","When evidence in a deadly terrorist attack implicates FBI trainee Alex Parrish, she must discover which one of her classmates framed her.",4906423.0,tt4428122,show,Quantico,0.0,2015,2018,42.0,"Crime,Drama,Mystery"
21,Suits: Season 3: No Way Out,2020-12-01,Tuesday,December,"['Suits', ' Season 3', ' No Way Out']",3.0,Suits, Season 3, No Way Out,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
22,Suits: Season 3: Know When to Fold 'Em,2020-12-01,Tuesday,December,"['Suits', ' Season 3', "" Know When to Fold 'Em""]",3.0,Suits, Season 3, Know When to Fold 'Em,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
23,Suits: Season 3: Heartburn,2020-11-30,Monday,November,"['Suits', ' Season 3', ' Heartburn']",3.0,Suits, Season 3, Heartburn,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
24,The Office (U.S.): Season 1: Diversity Day,2020-11-28,Saturday,November,"['The Office (U.S.)', ' Season 1', ' Diversity Day']",3.0,The Office (U.S.), Season 1, Diversity Day,1963.0,70136120.0,TV Show,,"Steve Carell, John Krasinski, Jenna Fischer, Rainn Wilson, B.J. Novak, Ed Helms, Brian Baumgartner, David Denman, Creed Bratton, Kate Flannery, Mindy Kaling, Angela Kinsey, Paul Lieberstein, Oscar Nuñez, Phyllis Smith",United States," January 1, 2016",2012.0,TV-14,9 Seasons,TV Comedies,This hit comedy chronicles the foibles of disgruntled office workers – led by deluded boss Michael Scott – at the Dunder Mifflin paper company.,,,,,,,,,
25,Friends: Season 1: The One with the East German Laundry Detergent,2020-11-28,Saturday,November,"['Friends', ' Season 1', ' The One with the East German Laundry Detergent']",3.0,Friends, Season 1, The One with the East German Laundry Detergent,2189.0,70153404.0,TV Show,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer",United States,,2003.0,TV-14,10 Seasons,"Classic & Cult TV, TV Comedies","This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.",76980.0,tt0078615,show,Friends,0.0,1979,1979,60.0,"Comedy,Drama"
26,Friends: Season 1: The One with the East German Laundry Detergent,2020-11-28,Saturday,November,"['Friends', ' Season 1', ' The One with the East German Laundry Detergent']",3.0,Friends, Season 1, The One with the East German Laundry Detergent,2190.0,70153404.0,TV Show,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer",United States,,2003.0,TV-14,10 Seasons,"Classic & Cult TV, TV Comedies","This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.",106416.0,tt0108778,show,Friends,0.0,1994,2004,22.0,"Comedy,Romance"
27,Friends: Season 1: The One with the East German Laundry Detergent,2020-11-28,Saturday,November,"['Friends', ' Season 1', ' The One with the East German Laundry Detergent']",3.0,Friends, Season 1, The One with the East German Laundry Detergent,2191.0,70153404.0,TV Show,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer",United States,,2003.0,TV-14,10 Seasons,"Classic & Cult TV, TV Comedies","This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.",302508.0,tt0315608,show,Friends,0.0,2002,N,50.0,"Drama,Romance"
28,Quantico: Season 1: Turn,2020-11-27,Friday,November,"['Quantico', ' Season 1', ' Turn']",3.0,Quantico, Season 1, Turn,1500.0,80063740.0,TV Show,,"Priyanka Chopra, Josh Hopkins, Jake McLaughlin, Aunjanue Ellis, Yasmine Al Massri, Johanna Braddy, Tate Ellington, Graham Rogers, Anabelle Acosta, Russell Tovey, Blair Underwood, Pearl Thusi",United States," September 2, 2018",2018.0,TV-14,3 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","When evidence in a deadly terrorist attack implicates FBI trainee Alex Parrish, she must discover which one of her classmates framed her.",4906423.0,tt4428122,show,Quantico,0.0,2015,2018,42.0,"Crime,Drama,Mystery"
29,Suits: Season 3: Moot Point,2020-11-27,Friday,November,"['Suits', ' Season 3', ' Moot Point']",3.0,Suits, Season 3, Moot Point,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
30,Suits: Season 3: Yesterday’s Gone,2020-11-27,Friday,November,"['Suits', ' Season 3', ' Yesterday’s Gone']",3.0,Suits, Season 3, Yesterday’s Gone,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
31,Suits: Season 3: Buried Secrets,2020-11-26,Thursday,November,"['Suits', ' Season 3', ' Buried Secrets']",3.0,Suits, Season 3, Buried Secrets,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
32,Suits: Season 3: Stay,2020-11-26,Thursday,November,"['Suits', ' Season 3', ' Stay']",3.0,Suits, Season 3, Stay,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
33,Suits: Season 3: Bad Faith,2020-11-26,Thursday,November,"['Suits', ' Season 3', ' Bad Faith']",3.0,Suits, Season 3, Bad Faith,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
34,Suits: Season 3: Endgame,2020-11-25,Wednesday,November,"['Suits', ' Season 3', ' Endgame']",3.0,Suits, Season 3, Endgame,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
35,Suits: Season 3: She's Mine,2020-11-24,Tuesday,November,"['Suits', ' Season 3', "" She's Mine""]",3.0,Suits, Season 3, She's Mine,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
36,Suits: Season 3: The Other Time,2020-11-23,Monday,November,"['Suits', ' Season 3', ' The Other Time']",3.0,Suits, Season 3, The Other Time,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
37,Suits: Season 3: Shadow of a Doubt,2020-11-23,Monday,November,"['Suits', ' Season 3', ' Shadow of a Doubt']",3.0,Suits, Season 3, Shadow of a Doubt,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
38,Suits: Season 3: Conflict of Interest,2020-11-22,Sunday,November,"['Suits', ' Season 3', ' Conflict of Interest']",3.0,Suits, Season 3, Conflict of Interest,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
39,Suits: Season 3: Unfinished Business,2020-11-22,Sunday,November,"['Suits', ' Season 3', ' Unfinished Business']",3.0,Suits, Season 3, Unfinished Business,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
40,Suits: Season 3: I Want You to Want Me,2020-11-20,Friday,November,"['Suits', ' Season 3', ' I Want You to Want Me']",3.0,Suits, Season 3, I Want You to Want Me,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
41,Suits: Season 3: The Arrangement,2020-11-20,Friday,November,"['Suits', ' Season 3', ' The Arrangement']",3.0,Suits, Season 3, The Arrangement,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
